rs_category,rs_names,rs_phones,rs_address,rs_hours,rs_required,rs_services,rs_fees,rs_general,rs_eligibility,rs_website,rs_email
Clothing Pantries,Apostolic Inner City Ministries,317-889-1959,3032 E. 10th St.,Sunday (12 PM to 4 PM); call for an appointment.,,,,,,,
Clothing Pantries,Central Christian Church,317-635-6397,701 N. Delaware St. (Door #2 faces Ft. Wayne Ave.),"Monday (10 AM to 12 PM, closed holidays).",Photo ID.,Free clothing.,,,,,
Clothing Pantries,Circle City Relief,317-752-6501,33rd St. & Michigan St.,Sunday (12:30 PM to 2 PM).,,"Food and clothing to anyone who shows up. Resources available to those who request it including emergency shelter, permanent housing, counseling, and detox.",,,,,
Clothing Pantries,Crisis Office of Catholic Charities,317-236-1556,1435 N. Illinois St.,Monday—Thursday (10 AM to 12 PM and 1 PM to 3 PM).,Photo ID or document with your name on it. Must arrive before opening time to be served.,,,,,,
Clothing Pantries,Downtown Pregnancy Center,317-926-9177,"3266 N. Meridian St., 1st floor, Suite 110",Monday-Friday (9 AM to 4:30 PM).,Photo ID and must be the parent/legal guardian of an infant to pick up items. Call to schedule an appointment; no walk-ins.,"Children’s clothing sizes (infant to 3T), diapers, and maternity clothes.",,,,,
Clothing Pantries,Eastern Star Church – Care Center,317-547-5483,5719 Massachusetts Ave.,"Monday, Tuesday, Friday (9 AM to 2 PM) and Thursday (1 PM to 6 PM).","Photo ID, Social Security Card for all members of household, proof of residence, and proof of address.",,,,,,
Clothing Pantries,Fletcher Place Community Center,317-636-3466,1637 Prospect St.,"Monday and Wednesday (9 AM to noon), Tuesday and Thursday (8:30 AM to 11:30 AM)",Photo ID.,"Clothing, hygiene products, blankets, sleeping bags, shoes, bags, new underwear, and socks. On Thursday they offer “snack packs” to go.",,,,,
Clothing Pantries,HRH & HHOOT,317-635-0500,916 E. Michigan Street,"Monday-Friday (10 AM to 4 PM, 6 PM to 8 PM); Saturday-Sunday (3 PM to 5 PM).",,Clothing and hygiene products.,,,,,
Clothing Pantries,LBC Community Center,317-217-1409,709 S. Lynhurst Dr.,"Monday—Friday (12 PM to 5 PM), Saturday (1 PM to 5 PM)",Must call ahead of time for appointment.,Clothing; 12 items per person or 20 items per family. Bread and other food items.,,,,,
Clothing Pantries,Maternity Outreach Ministry,317-891-2130,1325 N. German Church Rd. (Yellow house next to Heather Hills Baptist Church),"Monday (9 AM to 11 AM), Tuesday (5:30 PM to 6:30 PM), Saturday (9 AM to 11 AM); closed holidays and during bad weather.",Photo ID and must arrive at least one hour before closing.,"Children’s clothing sizes (infant—child 6), diapers, and maternity clothes. Can visit once every 6 months.",,,,,
Clothing Pantries,,,,,,,,,,,
Clothing Pantries,Metro Baptist Church,317-687-0075,952 N. Pennsylvania St.,"Tuesday, Thursday (10 AM to 1:30 PM).","Photo ID and proof of address (utility bill, rent receipt, or rent agreement) will be required for service.",Distribution of clothing and snacks.,,,,,
Clothing Pantries,"Outreach, Inc.",317-951-8886,2822 E. New York St.,Tuesday and Friday (10 AM to 11:30 AM),For ages 14-24.,,,,,,
Clothing Pantries,Westminster Neighborhood Services,317-632-9785,2325 E. New York Street,Monday (3 PM to 6 PM) and Thursday (8:30 AM to 11:30 AM).,Clothing pantry is available to people who live in the service area.,,,,,,
Emergency Shelters,Children’s Bureau Children’s Shelter,317-634-5050,"1575 Dr. Martin Luther King, Jr. St.",,Must have parent/legal guardian permission to stay at the shelter.,,,For youth (boys & girls) newborn—17 years; please call 24 hours/day for availability.,,,
Emergency Shelters,Safe Families for Children of Central Indiana,317-519-3839,,,Must have parent/legal guardian permission to place children with host families.,,,For youth (boys & girls) newborn—17 years; please call Monday – Friday 9 am – 4 pm for availability.,,,
